"Pos.","No.","Name","Height","Weight","DOB (YYYY-MM-DD)","From"
"F","8","Babbitt, Luke","6 ft 9 in (2.06 m)","225 lb (102 kg)","1989–06–20","Nevada"
"G","24","Bazemore, Kent","6 ft 5 in (1.96 m)","201 lb (91 kg)","1989–07–01","Old Dominion"
"G/F","3","Belinelli, Marco","6 ft 5 in (1.96 m)","210 lb (95 kg)","1986–03–25","Italy"
"G/F","95","Bembry, DeAndre'","6 ft 6 in (1.98 m)","210 lb (95 kg)","1994–07–04","Saint Joseph's"
"F","16","Brussino, Nicolás","6 ft 8 in (2.03 m)","195 lb (88 kg)","1993–03–02","Argentina"
"F","34","Cavanaugh, Tyler (TW)","6 ft 9 in (2.06 m)","238 lb (108 kg)","1994-02-09","George Washington"
"F/C","20","Collins, John","6 ft 10 in (2.08 m)","235 lb (107 kg)","1997–09–23","Wake Forest"
"C","14","Dedmon, Dewayne","7 ft 0 in (2.13 m)","245 lb (111 kg)","1989–08–12","Southern California"
"G","5","Delaney, Malcolm","6 ft 3 in (1.91 m)","190 lb (86 kg)","1989–03–11","Virginia Tech"
"G","2","Dorsey, Tyler","6 ft 4 in (1.93 m)","183 lb (83 kg)","1996–02–14","Oregon"
"F","7","İlyasova, Ersan","6 ft 10 in (2.08 m)","235 lb (107 kg)","1987–05–15","Turkey"
"G","11","Magette, Josh (TW)","6 ft 1 in (1.85 m)","160 lb (73 kg)","1989–11–28","Alabama–Huntsville"
"F/C","31","Muscala, Mike","6 ft 11 in (2.11 m)","240 lb (109 kg)","1991–07–01","Bucknell"
"C","18","Plumlee, Miles","6 ft 11 in (2.11 m)","249 lb (113 kg)","1988–09–01","Duke"
"F","12","Prince, Taurean","6 ft 8 in (2.03 m)","220 lb (100 kg)","1994–03–22","Baylor"
"G","17","Schröder, Dennis","6 ft 1 in (1.85 m)","172 lb (78 kg)","1993–09–15","Germany"
"G","22","Taylor, Isaiah","6 ft 3 in (1.91 m)","170 lb (77 kg)","1994–07–11","Texas"
